Time,U,V,W,U Avg,V Avg,W Avg,U'=U - U avg,V'=V - V avg,W'=W - W avg,Octant,   ,Octant ID,1,-1,2,-2,3,-3,4,-4
0.21,-0.09653353504809559,0.19166952428979653,1.5424222558413174,,,,-27.403067070096192,0.14333904857959306,1.434844511682635,2, ,,,,,,,,,
0.22,2.093466464951902,-0.3883304757102035,0.3524222558413176,,,,-25.213067070096194,-0.43666095142040695,0.24484451168263516,4, ,,,,,,,,,
0.23,3.1934664649519036,-1.8083304757102034,1.2024222558413176,,,,-24.113067070096193,-1.8566609514204069,1.094844511682635,4, ,,,,,,,,,
0.24,1.7234664649519047,2.561669524289796,0.012422255841317564,,,,-25.58306707009619,2.5133390485795926,-0.09515548831736487,1, ,,,,,,,,,
0.25,-1.4765335350480981,-0.9283304757102034,0.6324222558413175,,,,-28.783067070096195,-0.9766609514204069,0.524844511682635,3, ,,,,,,,,,
0.26,-2.1265335350480967,3.2616695242897964,0.08242225584131757,,,,-29.433067070096193,3.2133390485795927,-0.02515548831736486,2, ,,,,,,,,,
0.27,-2.356533535048097,0.19166952428979653,1.0024222558413176,,,,-29.663067070096194,0.14333904857959306,0.8948445116826351,2, ,,,,,,,,,
0.28,2.673466464951904,0.9216695242897965,1.9724222558413176,,,,-24.633067070096192,0.8733390485795931,1.864844511682635,1, ,,,,,,,,,
0.29,0.673466464951904,0.08166952428979654,2.112422255841318,,,,-26.633067070096192,0.03333904857959308,2.0048445116826357,1, ,,,,,,,,,
0.3,-1.316533535048098,-0.7483304757102034,2.262422255841318,,,,-28.623067070096194,-0.7966609514204068,2.1548445116826356,3, ,,,,,,,,,
0.31,-0.9865335350480962,1.8516695242897965,2.5424222558413176,,,,-28.293067070096193,1.803339048579593,2.4348445116826354,2, ,,,,,,,,,
0.32,-4.906533535048098,3.2616695242897964,2.9324222558413178,,,,-32.213067070096194,3.2133390485795927,2.8248445116826355,2, ,,,,,,,,,
0.33,-1.8865335350480947,4.581669524289796,3.2724222558413176,,,,-29.19306707009619,4.533339048579593,3.1648445116826354,2, ,,,,,,,,,
0.34,0.8734664649519033,3.231669524289796,3.112422255841318,,,,-26.433067070096193,3.1833390485795925,3.0048445116826357,1, ,,,,,,,,,
0.35,3.1534664649519044,1.3916695242897965,3.1824222558413178,,,,-24.153067070096192,1.343339048579593,3.0748445116826355,1, ,,,,,,,,,
0.36,1.8234664649519026,2.4416695242897966,3.5624222558413177,,,,-25.483067070096194,2.393339048579593,3.4548445116826354,1, ,,,,,,,,,
0.37,2.3634664649519053,0.9216695242897965,3.782422255841318,,,,-24.94306707009619,0.8733390485795931,3.6748445116826356,1, ,,,,,,,,,
0.38,2.513466464951904,2.251669524289796,3.9324222558413178,,,,-24.793067070096193,2.2033390485795925,3.8248445116826355,1, ,,,,,,,,,
0.39,2.673466464951904,3.5916695242897965,3.7924222558413176,,,,-24.633067070096192,3.543339048579593,3.6848445116826354,1, ,,,,,,,,,
